

 number of simulation is --> 0



 number of simulation is --> 0



 number of simulation is --> 0

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9999 0.0001 0.0003 0.0
2 0.9998 0.0002 0.0003 0.0
3 0.9997 0.0003 0.0003 0.0
4 0.9996 0.0004 0.0003 0.0
5 0.9995 0.0005 0.0003 0.0
6 0.9994 0.0006 0.0003 0.0
7 0.9993 0.0007 0.0003 0.0
8 0.9992 0.0008 0.0003 0.0
9 0.9992 0.0008 0.0003 0.0
10 0.9991 0.0009 0.0003 0.0
11 0.9991 0.0009 0.0003 0.0
12 0.9991 0.0009 0.0003 0.0
13 0.999 0.001 0.0003 0.0
14 0.9989 0.0011 0.0003 0.0
15 0.9988 0.0012 0.0003 0.0
16 0.9987 0.0013 0.0003 0.0
17 0.9986 0.0013 0.0004 0.0
18 0.9986 0.0013 0.0004 0.0
19 0.9985 0.0013 0.0005 0.0
20 0.9984 0.0013 0.0006 0.0
21 0.9982 0.0014 0.0007 0.0
22 0.9979 0.0016 0.0008 0.0
23 0.9976 0.0018 0.0009 0.0
24 0.9972 0.0021 0.0009 0.0001
25 0.9968 0.0024 0.0009 0.0002
26 0.9964 0.0026 0.001 0.0003
27 0.9955 0.0033 0.0011 0.0004
28 0.9939 0.0046 0.0013 0.0005
29 0.9919 0.0062 0.0016 0.0006
30 0.9888 0.0087 0.002 0.0008
31 0.9836 0.013 0.0027 0.001
32 0.976 0.0192 0.0037 0.0014
33 0.9673 0.026 0.0051 0.0019
34 0.955 0.0356 0.0071 0.0026
35 0.9424 0.0448 0.0095 0.0036
36 0.9281 0.0549 0.0124 0.0049
37 0.9052 0.0723 0.0162 0.0066
38 0.8789 0.0916 0.0209 0.0089
39 0.8483 0.1135 0.0267 0.0118
40 0.8141 0.1372 0.0335 0.0155
41 0.78 0.1591 0.0412 0.02
42 0.7415 0.1835 0.0498 0.0255
43 0.697 0.2118 0.0594 0.0321
44 0.6492 0.2411 0.0702 0.0398
45 0.6031 0.2667 0.0817 0.0488
46 0.5551 0.2923 0.0937 0.0592
47 0.5077 0.3155 0.1062 0.0709
48 0.4649 0.3328 0.1186 0.084
49 0.4244 0.3467 0.1307 0.0985
50 0.3882 0.3556 0.1422 0.1143
51 0.3558 0.3603 0.153 0.1312
52 0.3244 0.3638 0.1629 0.1492
53 0.2945 0.3656 0.1719 0.1683
54 0.2691 0.3631 0.1799 0.1882
55 0.2458 0.3588 0.1868 0.2089
56 0.224 0.3535 0.1926 0.2302
57 0.2068 0.3443 0.1971 0.2521
58 0.1888 0.3365 0.2007 0.2743
59 0.1726 0.3276 0.2033 0.2968
60 0.1608 0.3152 0.2048 0.3195
61 0.1469 0.3056 0.2055 0.3423
62 0.1379 0.2922 0.2052 0.365
63 0.129 0.2796 0.2041 0.3876
64 0.121 0.2671 0.2022 0.41
65 0.1142 0.2544 0.1996 0.4321
66 0.1083 0.2418 0.1963 0.4539
67 0.1035 0.229 0.1926 0.4752
68 0.0995 0.2164 0.1883 0.4961
69 0.0929 0.2071 0.1838 0.5165
70 0.0885 0.1964 0.1791 0.5363
71 0.0838 0.1868 0.1741 0.5556
72 0.08 0.177 0.169 0.5743
73 0.0784 0.1659 0.1636 0.5924
74 0.0746 0.1576 0.1582 0.6099
75 0.0722 0.1486 0.1527 0.6268
76 0.07 0.1401 0.1471 0.6431
77 0.0673 0.1326 0.1416 0.6588
78 0.0647 0.1256 0.1361 0.6739
79 0.0627 0.1185 0.1307 0.6884
80 0.0615 0.1112 0.1253 0.7023
81 0.0602 0.1045 0.12 0.7156
82 0.0597 0.0975 0.1148 0.7283
83 0.0582 0.092 0.1097 0.7404
84 0.0566 0.087 0.1047 0.752
85 0.0554 0.0819 0.0999 0.7631
86 0.0545 0.0769 0.0953 0.7736
87 0.0541 0.0718 0.0908 0.7836
88 0.0537 0.0671 0.0864 0.7931
89 0.053 0.063 0.0821 0.8022
90 0.0523 0.0592 0.078 0.8108
91 0.0517 0.0556 0.074 0.819
92 0.0514 0.052 0.0702 0.8267
93 0.0507 0.049 0.0666 0.834
94 0.0503 0.0459 0.0631 0.841
95 0.05 0.0429 0.0598 0.8476
96 0.0497 0.0402 0.0566 0.8538
97 0.0491 0.0379 0.0536 0.8597
98 0.0485 0.0358 0.0507 0.8653
99 0.0479 0.0338 0.048 0.8706
100 0.0476 0.0317 0.0454 0.8756
101 0.0474 0.0297 0.0429 0.8803


 number of simulation is --> 1

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9999 0.0001 0.0003 0.0
2 0.9998 0.0002 0.0003 0.0
3 0.9997 0.0003 0.0003 0.0
4 0.9996 0.0004 0.0003 0.0
5 0.9995 0.0005 0.0003 0.0
6 0.9994 0.0006 0.0003 0.0
7 0.9993 0.0007 0.0003 0.0
8 0.9992 0.0008 0.0003 0.0
9 0.9991 0.0009 0.0003 0.0
10 0.9991 0.0009 0.0003 0.0
11 0.999 0.001 0.0003 0.0
12 0.9989 0.0011 0.0003 0.0
13 0.9988 0.0012 0.0003 0.0
14 0.9987 0.0013 0.0003 0.0
15 0.9987 0.0013 0.0003 0.0
16 0.9986 0.0013 0.0004 0.0
17 0.9986 0.0013 0.0004 0.0
18 0.9985 0.0013 0.0005 0.0
19 0.9985 0.0013 0.0005 0.0
20 0.9984 0.0013 0.0006 0.0
21 0.9982 0.0014 0.0007 0.0
22 0.998 0.0015 0.0008 0.0
23 0.9978 0.0016 0.0009 0.0
24 0.9974 0.0019 0.0009 0.0001
25 0.9968 0.0024 0.0009 0.0002
26 0.9963 0.0027 0.001 0.0003
27 0.995 0.0038 0.0011 0.0004
28 0.9932 0.0052 0.0014 0.0005
29 0.9913 0.0066 0.0018 0.0006
30 0.9888 0.0085 0.0022 0.0008
31 0.9849 0.0116 0.0027 0.0011
32 0.9794 0.0159 0.0036 0.0014
33 0.9728 0.0209 0.0047 0.0019
34 0.9647 0.027 0.0061 0.0025
35 0.9547 0.0344 0.0079 0.0033
36 0.9438 0.0421 0.01 0.0044
37 0.9328 0.0494 0.0124 0.0057
38 0.9166 0.061 0.0153 0.0074
39 0.8952 0.0766 0.019 0.0095
40 0.8713 0.0934 0.0235 0.0121
41 0.8391 0.1167 0.0292 0.0153
42 0.8009 0.1439 0.0362 0.0193
43 0.756 0.1754 0.0447 0.0242
44 0.7105 0.2052 0.0544 0.0302
45 0.6625 0.2352 0.0652 0.0374
46 0.6115 0.2658 0.0771 0.0459
47 0.5638 0.2912 0.0895 0.0558
48 0.5211 0.3101 0.102 0.0671
49 0.4765 0.3294 0.1146 0.0798
50 0.4321 0.3471 0.1272 0.0939
51 0.3949 0.3569 0.1392 0.1093
52 0.3598 0.364 0.1505 0.126
53 0.3282 0.3674 0.1609 0.1438
54 0.2972 0.37 0.1704 0.1627
55 0.2685 0.3703 0.179 0.1825
56 0.2453 0.3654 0.1864 0.2032
57 0.2239 0.3592 0.1926 0.2246
58 0.2038 0.3523 0.1977 0.2465
59 0.1871 0.3427 0.2016 0.2689
60 0.1741 0.3303 0.2043 0.2916
61 0.1609 0.319 0.206 0.3144
62 0.1495 0.3068 0.2067 0.3373
63 0.1404 0.2934 0.2063 0.3602
64 0.1316 0.2807 0.2051 0.3829
65 0.1234 0.2683 0.2032 0.4054
66 0.1169 0.2552 0.2006 0.4276
67 0.1105 0.243 0.1973 0.4495
68 0.1042 0.2315 0.1936 0.471
69 0.0993 0.2196 0.1894 0.492
70 0.0943 0.2086 0.1849 0.5125
71 0.0898 0.1979 0.1801 0.5325
72 0.0852 0.1881 0.1751 0.5519
73 0.0825 0.1772 0.1699 0.5707
74 0.0799 0.167 0.1645 0.5889
75 0.0759 0.1588 0.1591 0.6065
76 0.0737 0.1495 0.1536 0.6235
77 0.0715 0.1409 0.148 0.6399
78 0.0697 0.1326 0.1423 0.6557
79 0.0687 0.1241 0.1367 0.6708
80 0.0665 0.1173 0.1312 0.6853
81 0.0651 0.1103 0.1257 0.6992
82 0.0639 0.1036 0.1203 0.7125
83 0.0623 0.0977 0.1151 0.7252
84 0.0614 0.0916 0.1099 0.7374
85 0.0601 0.0863 0.1049 0.749
86 0.059 0.0812 0.1 0.7601
87 0.0584 0.076 0.0953 0.7706
88 0.0575 0.0715 0.0907 0.7806
89 0.0568 0.0671 0.0863 0.7901
90 0.0557 0.0634 0.082 0.7992
91 0.055 0.0596 0.0779 0.8078
92 0.0544 0.0559 0.074 0.816
93 0.0541 0.0522 0.0702 0.8238
94 0.0534 0.0492 0.0666 0.8311
95 0.0527 0.0464 0.0631 0.8381
96 0.0523 0.0435 0.0598 0.8447
97 0.0522 0.0405 0.0567 0.8509
98 0.0519 0.0379 0.0537 0.8568
99 0.0518 0.0353 0.0508 0.8624
100 0.0516 0.033 0.048 0.8677
101 0.0514 0.0309 0.0453 0.8727


 number of simulation is --> 2

 S E I R
0 1.0 0.0 0.0003 0.0
1 0.9997 0.0003 0.0003 0.0
2 0.9994 0.0006 0.0003 0.0
3 0.9991 0.0009 0.0003 0.0
4 0.9988 0.0012 0.0003 0.0
5 0.9985 0.0014 0.0004 0.0
6 0.9981 0.0017 0.0005 0.0
7 0.9976 0.0021 0.0006 0.0
8 0.9972 0.0024 0.0007 0.0
9 0.9966 0.0028 0.0009 0.0
10 0.9957 0.0035 0.001 0.0001
11 0.995 0.0039 0.0012 0.0002
12 0.9942 0.0044 0.0014 0.0003
13 0.9921 0.0061 0.0017 0.0004
14 0.9898 0.0078 0.0021 0.0006
15 0.9863 0.0105 0.0027 0.0008
16 0.9793 0.0163 0.0036 0.0011
17 0.971 0.0229 0.0048 0.0016
18 0.9601 0.0314 0.0065 0.0023
19 0.9468 0.0416 0.0087 0.0032
20 0.9306 0.0537 0.0116 0.0044
21 0.9103 0.0688 0.0152 0.006
22 0.8872 0.0854 0.0196 0.0081
23 0.859 0.1055 0.025 0.0108
24 0.8279 0.1269 0.0313 0.0142
25 0.7933 0.15 0.0386 0.0184
26 0.7567 0.1733 0.0468 0.0235
