,I,S,R,E,D
2020-01-30,0.001,1.0,0.0,0.0,0.0
2020-01-31,0.00092,0.99971,9e-05,0.00027,1e-05
2020-02-01,0.00086,0.99945,0.00018,0.0005,1e-05
2020-02-02,0.00082,0.99919,0.00026,0.00071,2e-05
2020-02-03,0.0008,0.99893,0.00033,0.00091,3e-05
2020-02-04,0.0008,0.99871,0.00041,0.00105,3e-05
2020-02-05,0.00081,0.99848,0.00049,0.00119,3e-05
2020-02-06,0.00082,0.99826,0.00058,0.00131,3e-05
2020-02-07,0.00084,0.99801,0.00067,0.00145,3e-05
2020-02-08,0.00087,0.99771,0.00076,0.00163,3e-05
2020-02-09,0.0009,0.99744,0.00085,0.00177,4e-05
2020-02-10,0.00094,0.99719,0.00095,0.00188,4e-05
2020-02-11,0.00099,0.9969,0.00105,0.00202,4e-05
2020-02-12,0.00104,0.99659,0.00116,0.00217,4e-05
2020-02-13,0.0011,0.99619,0.00128,0.00239,4e-05
2020-02-14,0.00117,0.99572,0.0014,0.00266,5e-05
2020-02-15,0.00126,0.99525,0.00153,0.00291,5e-05
2020-02-16,0.00135,0.9948,0.00168,0.00312,5e-05
2020-02-17,0.00144,0.99433,0.00184,0.00334,5e-05
2020-02-18,0.00154,0.99377,0.00201,0.00363,5e-05
2020-02-19,0.00165,0.99325,0.00219,0.00386,5e-05
2020-02-20,0.00177,0.9927,0.00237,0.0041,6e-05
2020-02-21,0.00189,0.99218,0.00256,0.00429,8e-05
2020-02-22,0.00202,0.99151,0.00277,0.00461,9e-05
2020-02-23,0.00216,0.99075,0.003,0.00499,0.0001
2020-02-24,0.00232,0.98993,0.00323,0.0054,0.00012
2020-02-25,0.0025,0.98897,0.0035,0.00591,0.00012
2020-02-26,0.0027,0.98802,0.00377,0.00637,0.00014
2020-02-27,0.00291,0.98694,0.00408,0.00692,0.00015
2020-02-28,0.00314,0.98582,0.00442,0.00747,0.00015
2020-02-29,0.00339,0.98456,0.00478,0.00811,0.00016
2020-03-01,0.00366,0.98326,0.00518,0.00874,0.00016
2020-03-02,0.00395,0.98188,0.00561,0.0094,0.00016
2020-03-03,0.00425,0.98047,0.00607,0.01004,0.00017
2020-03-04,0.00457,0.97902,0.00657,0.01067,0.00017
2020-03-05,0.0049,0.97743,0.0071,0.01139,0.00018
2020-03-06,0.00525,0.97576,0.00768,0.01213,0.00018
2020-03-07,0.00562,0.97401,0.00829,0.01289,0.00019
2020-03-08,0.00601,0.97219,0.00895,0.01366,0.00019
2020-03-09,0.00642,0.97014,0.00963,0.01459,0.00022
2020-03-10,0.00686,0.96784,0.01036,0.01569,0.00025
