,I,S,R,E,D
2020-01-30,0.001,1.0,0.0,0.0,0.0
2020-01-31,0.00092,0.99965,0.0001,0.00033,0.0
2020-02-01,0.00087,0.99935,0.00019,0.00059,0.0
2020-02-02,0.00084,0.99905,0.00027,0.00083,1e-05
2020-02-03,0.00083,0.99874,0.00036,0.00106,1e-05
2020-02-04,0.00084,0.99839,0.00045,0.00131,1e-05
2020-02-05,0.00086,0.99808,0.00053,0.00151,2e-05
2020-02-06,0.0009,0.99776,0.00062,0.0017,2e-05
2020-02-07,0.00094,0.9974,0.00072,0.00192,2e-05
2020-02-08,0.00099,0.99705,0.00083,0.00211,2e-05
2020-02-09,0.00106,0.99664,0.00092,0.00234,4e-05
2020-02-10,0.00114,0.99616,0.00104,0.00262,4e-05
2020-02-11,0.00123,0.9957,0.00117,0.00286,4e-05
2020-02-12,0.00132,0.99528,0.0013,0.00305,5e-05
2020-02-13,0.00142,0.99483,0.00145,0.00325,5e-05
2020-02-14,0.00152,0.99432,0.00161,0.0035,5e-05
2020-02-15,0.00162,0.99377,0.00178,0.00377,6e-05
2020-02-16,0.00174,0.99319,0.00196,0.00404,7e-05
2020-02-17,0.00187,0.99258,0.00216,0.00432,7e-05
2020-02-18,0.002,0.99192,0.00238,0.00463,7e-05
2020-02-19,0.00215,0.99113,0.00259,0.00504,9e-05
2020-02-20,0.00231,0.99032,0.00282,0.00544,0.00011
2020-02-21,0.00248,0.98948,0.00309,0.00584,0.00011
2020-02-22,0.00267,0.98854,0.00338,0.0063,0.00011
2020-02-23,0.00287,0.98758,0.00368,0.00675,0.00012
2020-02-24,0.00308,0.98654,0.00401,0.00724,0.00013
2020-02-25,0.00331,0.98548,0.00437,0.00771,0.00013
2020-02-26,0.00355,0.98428,0.00476,0.00828,0.00013
2020-02-27,0.00381,0.98301,0.00517,0.00887,0.00014
2020-02-28,0.00409,0.98166,0.00561,0.00949,0.00015
2020-02-29,0.0044,0.98004,0.00606,0.01032,0.00018
2020-03-01,0.00473,0.97836,0.00654,0.01115,0.00022
2020-03-02,0.00509,0.97662,0.00708,0.01197,0.00024
2020-03-03,0.00547,0.97482,0.00766,0.01279,0.00026
2020-03-04,0.00588,0.97265,0.00828,0.0139,0.00029
2020-03-05,0.00632,0.97052,0.00894,0.01489,0.00033
2020-03-06,0.00678,0.9684,0.00968,0.0158,0.00034
2020-03-07,0.00727,0.96608,0.01048,0.01683,0.00034
2020-03-08,0.0078,0.96334,0.0113,0.01818,0.00038
2020-03-09,0.00837,0.96046,0.01219,0.01956,0.00042
2020-03-10,0.00899,0.95743,0.01313,0.02098,0.00047
2020-03-11,0.00965,0.95418,0.01417,0.0225,0.0005
2020-03-12,0.01035,0.95072,0.01528,0.02411,0.00054
2020-03-13,0.0111,0.94705,0.01648,0.0258,0.00057
2020-03-14,0.0119,0.94304,0.01772,0.02769,0.00065
2020-03-15,0.01277,0.93872,0.01905,0.02973,0.00073
2020-03-16,0.0137,0.93405,0.02054,0.03195,0.00076
2020-03-17,0.01471,0.92903,0.02213,0.03433,0.0008
2020-03-18,0.01577,0.92401,0.02381,0.03654,0.00087
2020-03-19,0.01689,0.91857,0.02563,0.03899,0.00092
2020-03-20,0.01809,0.91268,0.0276,0.04168,0.00095
