,I,S,R,E,D
2020-01-30,0.001,1.0,0.0,0.0,0.0
2020-01-31,0.00092,0.99966,9e-05,0.00032,1e-05
2020-02-01,0.00087,0.99935,0.00018,0.00059,1e-05
2020-02-02,0.00084,0.9991,0.00026,0.00078,2e-05
2020-02-03,0.00082,0.99886,0.00033,0.00095,4e-05
2020-02-04,0.00081,0.99865,0.00042,0.00108,4e-05
2020-02-05,0.00081,0.99848,0.0005,0.00117,4e-05
2020-02-06,0.00081,0.99833,0.00058,0.00123,5e-05
2020-02-07,0.00081,0.99819,0.00067,0.00128,5e-05
2020-02-08,0.00082,0.99802,0.00076,0.00135,5e-05
2020-02-09,0.00084,0.99783,0.00085,0.00143,5e-05
2020-02-10,0.00086,0.9976,0.00094,0.00155,5e-05
2020-02-11,0.00089,0.99737,0.00103,0.00166,5e-05
2020-02-12,0.00092,0.99709,0.00113,0.00181,5e-05
2020-02-13,0.00096,0.99682,0.00123,0.00194,5e-05
2020-02-14,0.00101,0.9965,0.00134,0.0021,5e-05
2020-02-15,0.00107,0.99615,0.00145,0.00228,5e-05
2020-02-16,0.00113,0.99582,0.00157,0.00243,5e-05
2020-02-17,0.0012,0.99545,0.0017,0.0026,5e-05
2020-02-18,0.00127,0.99502,0.00184,0.00282,5e-05
2020-02-19,0.00135,0.9946,0.00198,0.00301,6e-05
2020-02-20,0.00144,0.99412,0.00213,0.00325,6e-05
2020-02-21,0.00153,0.99368,0.00229,0.00343,7e-05
2020-02-22,0.00163,0.99316,0.00246,0.00367,8e-05
2020-02-23,0.00174,0.99263,0.00264,0.0039,9e-05
2020-02-24,0.00185,0.99212,0.00283,0.0041,0.0001
2020-02-25,0.00197,0.99151,0.003,0.00438,0.00014
2020-02-26,0.0021,0.99082,0.00323,0.00471,0.00014
2020-02-27,0.00225,0.99004,0.00347,0.0051,0.00014
2020-02-28,0.00241,0.98915,0.00371,0.00557,0.00016
2020-02-29,0.00259,0.98828,0.00397,0.00598,0.00018
2020-03-01,0.00278,0.98727,0.00424,0.0065,0.00021
2020-03-02,0.00299,0.98618,0.00454,0.00705,0.00024
2020-03-03,0.00323,0.98496,0.00488,0.00768,0.00025
2020-03-04,0.00349,0.98364,0.00526,0.00836,0.00025
2020-03-05,0.00376,0.98238,0.00564,0.00894,0.00028
2020-03-06,0.00405,0.98103,0.00606,0.00956,0.0003
2020-03-07,0.00435,0.97959,0.00649,0.01022,0.00035
2020-03-08,0.00467,0.97808,0.00698,0.0109,0.00037
2020-03-09,0.00502,0.97635,0.00752,0.01173,0.00038
2020-03-10,0.0054,0.9745,0.00807,0.01261,0.00042
2020-03-11,0.0058,0.97247,0.00869,0.0136,0.00044
2020-03-12,0.00624,0.97021,0.00932,0.01473,0.0005
2020-03-13,0.00672,0.96779,0.01004,0.01593,0.00052
2020-03-14,0.00723,0.96531,0.01082,0.0171,0.00054
2020-03-15,0.00776,0.96283,0.01162,0.01819,0.0006
2020-03-16,0.00833,0.96011,0.01252,0.01942,0.00062
2020-03-17,0.00893,0.95727,0.01349,0.02067,0.00064
2020-03-18,0.00957,0.95413,0.01452,0.02211,0.00067
2020-03-19,0.01024,0.95092,0.01564,0.02352,0.00068
2020-03-20,0.01095,0.94754,0.01682,0.02498,0.00071
2020-03-21,0.0117,0.94392,0.01806,0.02656,0.00076
2020-03-22,0.01251,0.93972,0.01944,0.02857,0.00076
2020-03-23,0.01338,0.93529,0.02091,0.03065,0.00077
2020-03-24,0.01431,0.93075,0.02246,0.03268,0.0008
2020-03-25,0.01529,0.92605,0.02405,0.03471,0.0009
2020-03-26,0.01635,0.92053,0.02583,0.03736,0.00093
2020-03-27,0.01745,0.91538,0.02769,0.03948,0.001
2020-03-28,0.01861,0.90968,0.02969,0.04196,0.00106
2020-03-29,0.01983,0.90374,0.03182,0.04448,0.00113
2020-03-30,0.02112,0.89729,0.03408,0.0473,0.00121
2020-03-31,0.02248,0.89065,0.03649,0.05009,0.00129
2020-04-01,0.02391,0.88354,0.03904,0.05312,0.00139
2020-04-02,0.02542,0.87602,0.04179,0.05631,0.00146
2020-04-03,0.027,0.86823,0.04468,0.05953,0.00156
2020-04-04,0.02868,0.85967,0.04774,0.06323,0.00168
2020-04-05,0.03045,0.85069,0.05106,0.06706,0.00174
2020-04-06,0.03229,0.84177,0.05454,0.07056,0.00184
2020-04-07,0.03421,0.83222,0.05816,0.07439,0.00202
2020-04-08,0.03622,0.82215,0.06206,0.07843,0.00214
2020-04-09,0.03832,0.81157,0.06619,0.08266,0.00226
2020-04-10,0.03996,0.80909,0.07049,0.07906,0.0024
2020-04-11,0.04121,0.80667,0.07492,0.07566,0.00254
2020-04-12,0.04212,0.80416,0.07946,0.07259,0.00267
2020-04-13,0.04275,0.80133,0.08407,0.07004,0.00281
2020-04-14,0.04314,0.79872,0.08871,0.06747,0.00296
2020-04-15,0.04334,0.79604,0.09338,0.06514,0.0031
2020-04-16,0.04337,0.79332,0.09797,0.06302,0.00332
2020-04-17,0.04326,0.79064,0.10253,0.06101,0.00356
2020-04-18,0.04301,0.78829,0.10706,0.05884,0.0038
2020-04-19,0.04266,0.78581,0.11165,0.05694,0.00394
2020-04-20,0.04222,0.7832,0.11617,0.0553,0.00411
2020-04-21,0.0417,0.78083,0.12064,0.05356,0.00427
2020-04-22,0.04112,0.77864,0.1251,0.05177,0.00437
2020-04-23,0.04048,0.77644,0.12949,0.05012,0.00447
